
         73.6000          0.1700          1.5400     344301.2710
         52.4000          0.1700          1.5600     704940.6760
         57.9000          0.2100          1.5700     491217.4680
        729.5000          0.3700          1.9600    4652602.4000
         59.9000          0.2000          1.5500     638435.1150
        114.5000          0.4000          1.8100     596435.3010
         17.5000          0.2100          1.5500     141264.8160
          8.4000          0.1700          1.5900     106561.5540
        443.2000          0.3400          1.8000    2675169.2500
         85.5000          0.1200          1.4600    1130982.1600
         14.7000          0.1800          1.5300     169046.4720
        323.4000          0.3000          1.6300    2186094.0850
        114.7000          0.1600          1.4200    1097716.5360
         84.1000          0.3100          1.6300     464953.1950
         55.6000          0.2400          1.6100     441007.5200
         18.8000          0.0300          1.2600     898621.7490
         87.3000          0.2000          1.5900     793596.5000
         43.9000          0.3200          1.7300     258605.0330
         62.6000          0.1300          1.4700     861719.2400
        146.9000          0.2600          1.6800    1087728.2450
        257.2000          0.2500          1.6100    2020588.0290
        146.8000          0.3800          1.9100     818177.0740
         48.9000          0.1800          1.4900     483400.1120
         80.4000          0.1300          1.4000    1021209.0880
         11.9000          0.1800          1.5100     139637.7160
         39.5000          0.2700          1.5900     270563.0010
         50.2000          0.3500          1.8900     313306.3620
         40.9000          0.2500          1.5800     206316.2440
        269.6000          0.4000          1.8500    1382130.9000
         16.1000          0.1500          1.5400     192337.2280
        611.0000          0.3900          1.8700    3445351.7360
         17.8000          0.0200          1.3200    1306493.6150
         16.3000          0.3000          1.6400      97460.7580
        221.4000          0.1800          1.4700    1960033.1520
         63.5000          0.2300          1.5700     621679.8000
         80.2000          0.2800          1.6600     489564.1620
        225.8000          0.1800          1.5100    2433041.9100
         39.1000          0.3700          1.7800     201986.5200
         30.0000          0.0700          1.3700     664278.0000
         14.7000          0.2300          1.5500     121190.2230
         76.9000          0.1300          1.4700    1111828.8900
        552.9000          0.4100          1.7800    2904541.4400
         21.4000          0.2300          1.6800     178826.4000
         11.7000          0.1700          1.5600      98995.9500
         17.1000          0.0300          1.4400    1104896.2200
        132.6000          0.3400          1.8500     946860.5740
         33.7000          0.1700          1.4900     364108.6350
        140.7000          0.3000          1.6500    1026515.8360
          5.9000          0.1200          1.4300      72828.3210
         73.1000          0.1700          1.7400     334372.9230
         53.2000          0.1800          1.7200     582575.0160
         65.4000          0.2200          1.7800     498742.3720
        717.4000          0.3700          1.9900    4726527.7040
         58.7000          0.2000          1.6100     647960.3090
        120.8000          0.4400          1.9500     578124.2250
         19.5000          0.2400          1.7900     152064.9200
         14.3000          0.3200          1.9100      93927.4030
        430.2000          0.3400          1.8900    2457134.9410
         85.1000          0.1200          1.6200    1016065.4940
         15.2000          0.1800          1.6900     157555.9050
        323.1000          0.3000          1.8200    2211653.6520
        110.5000          0.1600          1.5500    1215399.9480
         94.9000          0.3600          1.8200     439603.7120
         53.6000          0.2400          1.7400     445370.1600
         18.8000          0.0300          1.3900     841403.1340
         91.3000          0.2000          1.7900     791988.4960
         52.7000          0.3700          1.8900     231645.1200
         84.6000          0.1900          1.6700     797826.3590
        142.1000          0.2600          1.7700    1115239.5000
        251.2000          0.2500          1.7900    1843815.4240
        159.1000          0.4300          2.1700     756384.2130
         48.2000          0.1800          1.6600     485229.5880
         82.1000          0.1300          1.5500     957305.0200
         12.4000          0.1800          1.6800     122176.7200
         38.7000          0.2700          1.7200     216250.6350
         47.9000          0.3500          1.9500     323456.3820
         40.6000          0.2500          1.7000     201023.3130
        269.1000          0.4000          1.9600    1243922.6660
         16.4000          0.1500          1.6800     242281.5050
        582.5000          0.3900          2.0000    3250331.9400
         39.9000          0.0500          1.4800    1450579.2120
         13.5000          0.2900          1.7100     112539.2560
        219.7000          0.1800          1.6100    2058231.8210
         62.4000          0.2300          1.7500     658794.1160
         81.8000          0.2800          1.8200     499349.7450
        338.8000          0.2900          1.7700    2353126.4430
         37.3000          0.3700          1.9300     177557.5780
         27.8000          0.0700          1.5600     783923.2800
         14.9000          0.2300          1.6900     119742.0750
         77.1000          0.1300          1.6600    1063502.2600
        543.2000          0.4100          1.9200    3002009.6250
         24.8000          0.2700          1.7300     202362.6380
         13.3000          0.1900          1.7000      96211.9410
         16.9000          0.0300          1.6100    1190465.8920
        136.6000          0.3400          2.0000     885446.4450
         29.7000          0.1700          1.6100     358663.0860
        149.4000          0.3100          1.8200     919830.9680
          6.0000          0.1200          1.5900      74165.5350
         72.6000          0.1700          1.7000     285686.0650
         54.1000          0.1800          1.7700     661596.1970
         72.2000          0.2700          1.7900     498753.3200
        673.2000          0.3700          2.0300    4337690.3750
         58.9000          0.2000          1.6400     667154.1600
        117.5000          0.4500          2.0300     532392.2240
